id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
S;SUL;2024-02-29;20459.2421875;13815.77246094;67.52829742
NE;NORDESTE;2024-03-01;51691.2265625;34018.390625;65.81079865
N;NORTE;2024-03-01;15302.39648438;12135.984375;79.30770111
SE;SUDESTE;2024-03-01;204615.328125;131863.4375;64.44460297
S;SUL;2024-03-01;20459.2421875;13729.51757813;67.10669708
NE;NORDESTE;2024-03-02;51691.2265625;34148.3515625;66.06220245
N;NORTE;2024-03-02;15302.39648438;12322.43652344;80.52619934
SE;SUDESTE;2024-03-02;204615.328125;131951.53125;64.48760223
S;SUL;2024-03-02;20459.2421875;13701.68164063;66.97059631
NE;NORDESTE;2024-03-03;51691.2265625;34325.76171875;66.40540314
N;NORTE;2024-03-03;15302.39648438;12523.33789063;81.8391037
SE;SUDESTE;2024-03-03;204615.328125;132160.84375;64.58989716
S;SUL;2024-03-03;20459.2421875;13707.43261719;66.998703
NE;NORDESTE;2024-03-04;51691.2265625;34544.421875;66.82839966
N;NORTE;2024-03-04;15302.39648438;12689.92675781;82.92769623
SE;SUDESTE;2024-03-04;204615.328125;132076.125;64.54850006
S;SUL;2024-03-04;20459.2421875;13611.30078125;66.52890015
NE;NORDESTE;2024-03-05;51691.2265625;34715.57421875;67.15950012
N;NORTE;2024-03-05;15302.39648438;12832.29882813;83.85810089
SE;SUDESTE;2024-03-05;204615.328125;132108.921875;64.5644989
S;SUL;2024-03-05;20459.2421875;13637.04101563;66.65470123
NE;NORDESTE;2024-03-06;51691.2265625;34912.640625;67.540802
N;NORTE;2024-03-06;15302.39648438;12989.40527344;84.88480377
SE;SUDESTE;2024-03-06;204615.328125;132281.515625;64.64890289
S;SUL;2024-03-06;20459.2421875;13695.0703125;66.93830109
NE;NORDESTE;2024-03-07;51691.2265625;35104.0234375;67.91100311
N;NORTE;2024-03-07;15302.39648438;13141.57226563;85.8792038
SE;SUDESTE;2024-03-07;204615.328125;132515.46875;64.76319885
S;SUL;2024-03-07;20459.2421875;13705.70898438;66.99030304
NE;NORDESTE;2024-03-08;51691.2265625;35321.83203125;68.33239746
N;NORTE;2024-03-08;15302.39648438;13327.13769531;87.09179688
