din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2025-01-03 18:00:00;N;NORTE;NE;NORDESTE;364.517
2025-01-03 18:00:00;N;NORTE;SE;SUDESTE;4738.403
2025-01-03 18:00:00;NE;NORDESTE;SE;SUDESTE;3013.923
2025-01-03 18:00:00;SE;SUDESTE;S;SUL;1537.337
2025-01-03 19:00:00;N;NORTE;NE;NORDESTE;-275.838
2025-01-03 19:00:00;N;NORTE;SE;SUDESTE;6845.127
2025-01-03 19:00:00;NE;NORDESTE;SE;SUDESTE;4232.07399999
2025-01-03 19:00:00;SE;SUDESTE;S;SUL;3267.297
2025-01-03 20:00:00;N;NORTE;NE;NORDESTE;-147.627
2025-01-03 20:00:00;N;NORTE;SE;SUDESTE;7204.043
2025-01-03 20:00:00;NE;NORDESTE;SE;SUDESTE;4550.013
2025-01-03 20:00:00;SE;SUDESTE;S;SUL;4308.608
2025-01-03 21:00:00;N;NORTE;NE;NORDESTE;-201.669
2025-01-03 21:00:00;N;NORTE;SE;SUDESTE;6959.987
2025-01-03 21:00:00;NE;NORDESTE;SE;SUDESTE;4176.278
2025-01-03 21:00:00;SE;SUDESTE;S;SUL;4479.481
2025-01-03 22:00:00;N;NORTE;NE;NORDESTE;-182.13
2025-01-03 22:00:00;N;NORTE;SE;SUDESTE;6596.569
2025-01-03 22:00:00;NE;NORDESTE;SE;SUDESTE;3816.505
2025-01-03 22:00:00;SE;SUDESTE;S;SUL;4280.31499999
2025-01-03 23:00:00;N;NORTE;NE;NORDESTE;-161.085
2025-01-03 23:00:00;N;NORTE;SE;SUDESTE;6397.332
2025-01-03 23:00:00;NE;NORDESTE;SE;SUDESTE;3867.143
2025-01-03 23:00:00;SE;SUDESTE;S;SUL;4196.53799999
2025-01-04 00:00:00;N;NORTE;NE;NORDESTE;403.213
2025-01-04 00:00:00;N;NORTE;SE;SUDESTE;6093.176
2025-01-04 00:00:00;NE;NORDESTE;SE;SUDESTE;4273.379
2025-01-04 00:00:00;SE;SUDESTE;S;SUL;3655.207
2025-01-04 01:00:00;N;NORTE;NE;NORDESTE;607.352
2025-01-04 01:00:00;N;NORTE;SE;SUDESTE;5122.915
2025-01-04 01:00:00;NE;NORDESTE;SE;SUDESTE;3758.005
2025-01-04 01:00:00;SE;SUDESTE;S;SUL;2949.942
2025-01-04 02:00:00;N;NORTE;NE;NORDESTE;719.307
2025-01-04 02:00:00;N;NORTE;SE;SUDESTE;4291.773
2025-01-04 02:00:00;NE;NORDESTE;SE;SUDESTE;3629.628
2025-01-04 02:00:00;SE;SUDESTE;S;SUL;2445.327
2025-01-04 03:00:00;N;NORTE;NE;NORDESTE;670.279
2025-01-04 03:00:00;N;NORTE;SE;SUDESTE;3781.788
2025-01-04 03:00:00;NE;NORDESTE;SE;SUDESTE;3512.642
2025-01-04 03:00:00;SE;SUDESTE;S;SUL;2187.819
2025-01-04 04:00:00;N;NORTE;NE;NORDESTE;647.62699999
2025-01-04 04:00:00;N;NORTE;SE;SUDESTE;3549.003
2025-01-04 04:00:00;NE;NORDESTE;SE;SUDESTE;3165.686
2025-01-04 04:00:00;SE;SUDESTE;S;SUL;1908.101
2025-01-04 05:00:00;N;NORTE;NE;NORDESTE;722.01
2025-01-04 05:00:00;N;NORTE;SE;SUDESTE;3170.293
2025-01-04 05:00:00;NE;NORDESTE;SE;SUDESTE;2742.803
2025-01-04 05:00:00;SE;SUDESTE;S;SUL;1511.942
2025-01-04 06:00:00;N;NORTE;NE;NORDESTE;83.247
2025-01-04 06:00:00;N;NORTE;SE;SUDESTE;2997.873
2025-01-04 06:00:00;NE;NORDESTE;SE;SUDESTE;3630.802
2025-01-04 06:00:00;SE;SUDESTE;S;SUL;2168.449
2025-01-04 07:00:00;N;NORTE;NE;NORDESTE;-2061.746
2025-01-04 07:00:00;N;NORTE;SE;SUDESTE;2563.034
2025-01-04 07:00:00;NE;NORDESTE;SE;SUDESTE;4743.167
2025-01-04 07:00:00;SE;SUDESTE;S;SUL;3189.013
2025-01-04 08:00:00;N;NORTE;NE;NORDESTE;-3057.364
2025-01-04 08:00:00;N;NORTE;SE;SUDESTE;2105.75
2025-01-04 08:00:00;NE;NORDESTE;SE;SUDESTE;4312.054
