id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2024-02-12;15547.78808594;68.16030121;15163.75683594;66.47669983
NE;NORDESTE;2024-02-12;9186.47070313;64.51940155;9170.74121094;64.40899658
S;SUL;2024-02-12;4658.55322266;56.31890106;4575.44287109;55.31420135
SE;SUDESTE;2024-02-12;39727.34765625;56.03720093;38603.49609375;54.45199966
N;NORTE;2024-02-13;15652.1953125;68.61799622;15260.625;66.90139771
NE;NORDESTE;2024-02-13;9330.70800781;65.53250122;9172.69335938;64.42269897
S;SUL;2024-02-13;5008.60693359;60.55080032;4932.00878906;59.62480164
SE;SUDESTE;2024-02-13;39509.06640625;55.72930145;38528.20703125;54.34579849
N;NORTE;2024-02-14;15953.5234375;69.93900299;15853.20605469;69.49919891
NE;NORDESTE;2024-02-14;9360.19824219;65.73960114;9360.19824219;65.73960114
S;SUL;2024-02-14;6073.42089844;73.42379761;5796.40576172;70.07479858
SE;SUDESTE;2024-02-14;39066.09765625;55.10449982;38497.49609375;54.30239868
N;NORTE;2024-02-15;16072.30566406;70.45970154;15980.58105469;70.05760193
NE;NORDESTE;2024-02-15;9415.52539063;66.12819672;9415.52539063;66.12819672
S;SUL;2024-02-15;7047.72216797;85.20240021;6581.02392578;79.56030273
SE;SUDESTE;2024-02-15;37995.375;53.59420013;37456.1328125;52.83359909
N;NORTE;2024-02-16;16307.46191406;71.49060059;16204.0703125;71.03739929
NE;NORDESTE;2024-02-16;9527.81152344;66.91680145;9527.81152344;66.91680145
S;SUL;2024-02-16;7824.72412109;94.59590149;7492.296875;90.57700348
SE;SUDESTE;2024-02-16;37923.30078125;53.49250031;37445.640625;52.81880188
N;NORTE;2024-02-17;16549.81835938;72.55310059;16406.0390625;71.92279816
NE;NORDESTE;2024-02-17;9672.47558594;67.93280029;9672.47558594;67.93280029
S;SUL;2024-02-17;8321.43945313;100.60079956;8130.39697266;98.29129791
